7.992652803659439087e-02,8.056539297103881836e-02,8.173146098852157593e-02,8.403236418962478638e-02,9.315636008977890015e-02,1.181204244494438171e-01,2.025240212678909302e-01,5.511004924774169922e-01,8.434578776359558105e-01,9.353299140930175781e-01
8.171401917934417725e-02,8.222004771232604980e-02,8.365608751773834229e-02,8.699776977300643921e-02,9.831987321376800537e-02,1.260405480861663818e-01,2.568843960762023926e-01,6.498687267303466797e-01,8.950636982917785645e-01,9.575107097625732422e-01
8.367995917797088623e-02,8.179948478937149048e-02,8.495335280895233154e-02,8.845907449722290039e-02,1.022804230451583862e-01,1.489613354206085205e-01,3.444413542747497559e-01,7.681939601898193359e-01,9.190580248832702637e-01,9.609072208404541016e-01
8.374752849340438843e-02,8.206055313348770142e-02,8.323843777179718018e-02,9.405632317066192627e-02,1.220453232526779175e-01,2.280695736408233643e-01,5.971868634223937988e-01,8.510891199111938477e-01,9.337283968925476074e-01,9.689502120018005371e-01
8.200393617153167725e-02,8.546121418476104736e-02,9.195132553577423096e-02,1.089442148804664612e-01,1.831327229738235474e-01,4.712698161602020264e-01,7.622308731079101562e-01,8.904223442077636719e-01,9.518952369689941406e-01,9.780302643775939941e-01
8.212824910879135132e-02,9.008312225341796875e-02,1.031183302402496338e-01,1.573249399662017822e-01,3.989415466785430908e-01,6.779239773750305176e-01,8.417838215827941895e-01,9.304587244987487793e-01,9.710059762001037598e-01,9.820550084114074707e-01
8.670435845851898193e-02,9.996210038661956787e-02,1.480158120393753052e-01,3.609436154365539551e-01,6.179078221321105957e-01,7.957022786140441895e-01,9.045678973197937012e-01,9.587242007255554199e-01,9.788279533386230469e-01,9.833695292472839355e-01
9.785376489162445068e-02,1.402567327022552490e-01,3.338502049446105957e-01,5.846537947654724121e-01,7.614297866821289062e-01,8.810397982597351074e-01,9.449586272239685059e-01,9.723240733146667480e-01,9.812254905700683594e-01,9.836833477020263672e-01
1.353663802146911621e-01,3.164080083370208740e-01,5.710676312446594238e-01,7.385405302047729492e-01,8.600103855133056641e-01,9.261871576309204102e-01,9.607177376747131348e-01,9.762076139450073242e-01,9.816689491271972656e-01,9.837032556533813477e-01
3.141376376152038574e-01,5.550410747528076172e-01,7.224643826484680176e-01,8.450787067413330078e-01,9.112464189529418945e-01,9.454195499420166016e-01,9.670101404190063477e-01,9.774603843688964844e-01,9.819219112396240234e-01,9.837540984153747559e-01
5.470431447029113770e-01,7.134200334548950195e-01,8.378009200096130371e-01,9.036245346069335938e-01,9.343476295471191406e-01,9.530765414237976074e-01,9.686869978904724121e-01,9.774237275123596191e-01,9.814188480377197266e-01,9.831908941268920898e-01
7.067105770111083984e-01,8.301274180412292480e-01,8.974928259849548340e-01,9.259331822395324707e-01,9.429614543914794922e-01,9.553423523902893066e-01,9.679082036018371582e-01,9.767221212387084961e-01,9.805452227592468262e-01,9.816597104072570801e-01
